"item","variable","value_Mean","value_SD","value_Max","value_Min","mean_DM","CV_pc"
"Maize","N_kg_per_t_fresh_wt",13.7252325393356,2.6010373306359,18.28606,7.82432375,87.91375,18.9507705838973
"Maize","P_kg_per_t_fresh_wt",2.48565436632207,0.53299558741303,4.71936131165,0.9464838281875,87.91375,21.4428681088789
"Maize","K_kg_per_t_fresh_wt",3.47295814814727,0.631197612866802,9.8507356875,1.8010336105875,87.91375,18.174639196373
"Rice, paddy","N_kg_per_t_fresh_wt",11.28127,0.394524558170971,11.91925,10.976,85.75,3.4971643987864
"Rice, paddy","P_kg_per_t_fresh_wt",2.48928895576932,0.430739798412306,4.012727845,1.289753745,85.75,17.3037283363186
"Rice, paddy","K_kg_per_t_fresh_wt",2.48225765522778,0.536730602612218,4.3939903525,1.3508274675,85.75,21.6226789141664
"Soybeans","N_kg_per_t_fresh_wt",58.86855,11.8137575652288,82.933,52.744,86.75,20.0680287950506
"Soybeans","P_kg_per_t_fresh_wt",5.637709,1.36380138243441,7.93936,4.3375,86.75,24.1907019754728
"Soybeans","K_kg_per_t_fresh_wt",21.77772,7.48857193974926,27.07294,16.4825,86.75,34.3863909525389
"Wheat","N_kg_per_t_fresh_wt",21.3344605042017,2.88864204846701,27.4098571428571,16.6385714285714,87.5714285714286,13.5397942118016
"Wheat","P_kg_per_t_fresh_wt",2.78086539610992,0.537778545048213,5.42942857142857,1.25588677121429,87.5714285714286,19.3385320195827
"Wheat","K_kg_per_t_fresh_wt",3.98056783521728,0.532870040929526,6.8607820652,2.56666279718571,87.5714285714286,13.3867845741772
